stock_code,company,listing_date,listing_year,industry,tier,score,missing_hard,missing_soft,has_hstech,has_vhsi,has_ind_basket,has_hs_sector,has_ipo_heat,has_subscription,has_outcome
00368,德合集團,2020-07-17,2020,地产/建筑,MVP可行,101,无缺口,HSTECH:上市早于指数窗口;VHSI;新闻仅近期不可回测,False,False,True,True,True,True,True
00589,建中建設,2020-03-18,2020,其他,核心缺口,84,认购倍数,HSTECH:上市早于指数窗口;VHSI;行业=其他;无官方板块;国配倍数;新闻仅近期不可回测,False,False,False,False,True,False,True
01147,伊登軟件,2020-05-13,2020,TMT/互联网,MVP可行,101,无缺口,HSTECH:上市早于指数窗口;VHSI;新闻仅近期不可回测,False,False,True,True,True,True,True
01156,CHINANEWENERGY,2020-07-15,2020,工业/制造,MVP可行,99,无缺口,HSTECH:上市早于指数窗口;VHSI;新闻不可用/空,False,False,True,True,True,True,True
01167,加科思－Ｂ,2020-12-21,2020,生物科技/医药,MVP可行,103,无缺口,VHSI;新闻仅近期不可回测,True,False,True,True,True,True,True
01179,華住集團－Ｓ,2020-09-22,2020,消费/零售,MVP可行,101,无缺口,恒生科技60:hstech_ret_60d;VHSI;新闻仅近期不可回测,True,False,True,True,True,True,True
01343,偉源控股,2020-03-12,2020,地产/建筑,MVP可行,99,无缺口,HSTECH:上市早于指数窗口;VHSI;国配倍数;新闻仅近期不可回测,False,False,True,True,True,True,True
01351,輝煌明天,2020-11-11,2020,消费/零售,MVP可行,101,无缺口,恒生科技60:hstech_ret_60d;VHSI;新闻仅近期不可回测,True,False,True,True,True,True,True
01376,RAFFLESINTERIOR,2020-05-07,2020,地产/建筑,MVP可行,101,无缺口,HSTECH:上市早于指数窗口;VHSI;新闻仅近期不可回测,False,False,True,True,True,True,True
01379,温嶺工量刃具,2020-12-30,2020,地产/建筑,MVP可行,103,无缺口,VHSI;新闻仅近期不可回测,True,False,True,True,True,True,True
01408,濠江機電,2020-09-11,2020,地产/建筑,核心缺口,95,HSTECH:hstech_ret_20d,恒生科技60:hstech_ret_60d;VHSI;新闻仅近期不可回测,False,False,True,True,True,True,True
